000001|0020061255          |0002|000| | | | | | | | | | | | |N|SR1         |SR1         |            |                         |                                        |                                                  |69172p.cntr.grp               |00001|00002|1
000001|0020061255          |0002|000| | | | | | | | | | | | |N|SR1         |SR1         |            |                         |                                        |                                                  |69172p.cntr.grp               |00001|00002|0
000002|0020061458          |0002|000| | | | | | | | | | | | |N|SR1         |SR1         |            |                         |                                        |                                                  |69172p.cntr.grp               |00001|00002|1
000002|0020061458          |0002|000| | | | | | | | | | | | |N|SR1         |SR1         |            |                         |                                        |                                                  |69172p.cntr.grp               |00001|00002|0
000003|0020061530          |0002|000| | | | | | | | | | | | |N|SR1         |SR1         |            |                         |                                        |                                                  |69172p.cntr.grp               |00001|00002|1
000003|0020061530          |0002|000| | | | | | | | | | | | |N|SR1         |SR1         |            |                         |                                        |                                                  |69172p.cntr.grp               |00001|00002|0
000004|0020061618          |0002|000| | | | | | | | | | | | |N|SR1         |SR1         |            |                         |                                        |                                                  |69172p.cntr.grp               |00001|00002|1
000004|0020061618          |0002|000| | | | | | | | | | | | |N|SR1         |SR1         |            |                         |                                        |                                                  |69172p.cntr.grp               |00001|00002|0
000005|6500001175          |0002|000| | | | | | | | | | | | |N|SR1         |SR1         |            |                         |                                        |                                                  |69172p.cntr.grp               |00001|00002|1
000005|6500001175          |0002|000| | | | | | | | | | | | |N|SR1         |SR1         |            |                         |                                        |                                                  |69172p.cntr.grp               |00001|00002|0
